t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
1,2.6995882364495,0.0725837688626071,1,0.9999909650518,-0.00359390737872566,-7.39044730385289e-05,0.00226896069856414,-0.000816076228804837,0.071897444931467,1.79832475358202e-17,-0.00690161585388388,-0.000290236426982424,0.0044964362849283,-0.00161002427535722,0.0705103579058751,1.76539258224821e-17,0,0,0
1.1,2.69949802645958,0.080137609923454,1,0.999989035952283,-0.00395519177989427,-8.98901931527322e-05,0.0025052650480945,-0.000993921244916121,0.0792974897609396,1.98363220106707e-17,-0.00755940636997863,-0.000352352149395427,0.00495992116703344,-0.00195809827686959,0.0775980225721861,1.94348754367894e-17,0,0,0
1.2,2.69938817376487,0.088467990292935,1,0.999986704531637,-0.00435068962052707,-0.000109286760242788,0.00276592049533305,-0.0012101662050573,0.0874394140008494,2.18759159218817e-17,-0.00827084107378198,-0.000427498525486031,0.0054701105135412,-0.00238036833860334,0.0853566981300188,2.13866510887747e-17,0,0,0
1.3,2.6992544428056,0.0976525413640795,1,0.999983890295374,-0.00478313430807116,-0.00013280605616349,0.00305338148150692,-0.00147297987441,0.0963929791607815,2.41198261879079e-17,-0.00903798496415591,-0.000518321229796057,0.00603147914813973,-0.00289229016499745,0.0938399243693422,2.35236711780907e-17,0,0,0
1.4,2.69909169892674,0.107776141460562,1,0.999980497872113,-0.00525534735953308,-0.000161303210645562,0.00337033838755271,-0.00179222699153352,0.106233390696254,2.65873303457387e-17,-0.00986229267455538,-0.000627974138869877,0.00664888076133354,-0.0035124167778303,0.103102938487355,2.58611201513942e-17,0,0,0
1.5,2.6988937223654,0.118931467599268,1,0.999976414714611,-0.00577020152822942,-0.000195803656885338,0.00371973786219272,-0.00217980622701748,0.117041433145929,2.92992597652333e-17,-0.0107443541659874,-0.000760207552674566,0.00732756914726754,-0.00426297790160381,0.113201940713233,2.84148751089029e-17,0,0,0
1.6,2.69865298539256,0.131219556644332,1,0.999971508618139,-0.00633056947873317,-0.000237534715707426,0.00410480441632708,-0.0026500507124036,0.128903518038511,3.22780637133663e-17,-0.0116835716108412,-0.000919468721402423,0.00807321812521586,-0.0051705537611452,0.124193072585465,3.12013947984842e-17,0,0,0
1.7,2.69836038586223,0.144750365571666,1,0.999965625116836,-0.00693925417198691,-0.000287962275693356,0.00452906325403393,-0.00322020111180307,0.141911612134515,3.55478600627012e-17,-0.0126777519471385,-0.00111101542598539,0.00889193940917867,-0.00626685387487768,0.136131031264917,3.4237561850876e-17,0,0,0
1.8,2.69800492937179,0.159643316909181,1,0.999958584859822,-0.00759889627488204,-0.00034883314331174,0.00499636427658076,-0.00391096224362285,0.1561630050759,3.91344674434867e-17,-0.013722596870915,-0.00134104306328893,0.00979029753869426,-0.00758961083974662,0.149067226190574,3.7540467474555e-17,0,0,0
1.9,2.69757335108853,0.176027810824621,1,0.999950181124343,-0.00831185292087535,-0.000422223617496633,0.0055109071514008,-0.00474715519530584,0.171759865173685,4.30654124717702e-17,-0.0148110691951608,-0.00161682524930638,0.0107753208195617,-0.00918359765246549,0.163047364419054,4.11271260255068e-17,0,0,0
2,2.69704966706413,0.194043679600754,1,0.999940177695885,-0.00908004101849901,-0.000510594787233825,0.00607726727956717,-0.00575847760774167,0.188808519575638,4.73699043313029e-17,-0.0159326117292316,-0.00194686734811557,0.0118545070483422,-0.0111017744671451,0.178108328057814,4.50141049245646e-17,0,0,0
2.1,2.69641464356806,0.213841553137036,1,0.999928307436833,-0.0099047370436084,-0.000616854946624815,0.00670042241817356,-0.00698038519903714,0.207418380132478,5.20787674332799e-17,-0.0170721924392356,-0.00234107153578167,0.0130358226153509,-0.0134065664451913,0.194274181473412,4.92170533669859e-17,0,0,0
2.2,2.69564517166517,0.235583095391335,1,0.999914271976058,-0.0107863238895979,-0.000744429356097093,0.00738577961167266,-0.00845510746600901,0.227700418665748,5.72243211206731e-17,-0.0182091481262596,-0.00281091099808348,0.014327693406497,-0.0161712680224198,0.211551117991539,5.37501112440078e-17,0,0,0
2.3,2.69471353300613,0.259441061045915,1,0.999897743077854,-0.0117239739483351,-0.000897337336353381,0.00813920194962472,-0.0102328096097575,0.249765074862383,6.28401934296748e-17,-0.0193157989250231,-0.00336960963123071,0.0157389857675482,-0.0194815599355813,0.22992112676715,5.86251778089295e-17,0,0,0
2.4,2.69358654168172,0.285599108860029,1,0.999878366379565,-0.0127152562571553,-0.00108027634863663,0.00896703448515863,-0.0123729107828126,0.273719456665688,6.89610537925143e-17,-0.0203558085982084,-0.00403232217353405,0.0172789756718384,-0.023437113087306,0.249334132431775,6.38510180654577e-17,0,0,0
2.5,2.69222454613743,0.314251292879234,1,0.999855768301207,-0.0137556544376014,-0.00129871227757312,0.00987612840212889,-0.0149455653886136,0.299663667048802,7.56222473096944e-17,-0.0212822722668715,-0.00481630806932537,0.0189573041644197,-0.0281532371239178,0.26969833629918,6.94321839037566e-17,0,0,0
2.6,2.69058027471468,0.345601134674608,1,0.999829566988299,-0.0148379815129061,-0.00155897458100403,0.0108738621873608,-0.0180333089529309,0.327686063100955,8.28593109130291e-17,-0.0220355256912376,-0.00574109059552636,0.0207839171646652,-0.0337625108162681,0.29086847328811,7.53677270218342e-17,0,0,0
2.7,2.68859750858862,0.379860158943241,1,0.999799388085748,-0.0159516778685429,-0.00186835429967354,0.0119681581186989,-0.0217328625454567,0.357857224686573,9.07073495027064e-17,-0.022540690784208,-0.00682859090829763,0.0227689878167683,-0.0404163054402236,0.312631700457499,8.16496821156212e-17,0,0,0
2.8,2.68620956696867,0.417245751140351,1,0.999764885854677,-0.0170819800832593,-0.0022352021298603,0.0131674917831286,-0.0261570793299153,0.390222382658657,9.9200248143656e-17,-0.0227050034464684,-0.00810322470092769,0.024922819797501,-0.0482860810556206,0.334690861057461,8.82613022876907e-17,0,0,0
2.9,2.68333759172926,0.457978169624005,1,0.999725769485897,-0.0182089517217837,-0.00266902286200435,0.0144808915467088,-0.0314370030235239,0.424792033978707,1.08369694885281e-16,-0.0224150151712383,-0.00959194701332064,0.0272557303192156,-0.0575642989905437,0.356644935477498,9.51750348202439e-17,0,0,0
3,2.67988862251076,0.502276516764723,1,0.999681833225901,-0.0193063732182805,-0.00318056148906174,0.0159179238556248,-0.037723990352552,0.46153045787449,1.18243988037062e-16,-0.0215338224597316,-0.011324228093367,0.0297779119658887,-0.0684647526861047,0.377966614284312,1.02350235199351e-16,0,0,0
