t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
0,2.69999647688322,0.00671533587101109,1,0.999999590283403,-0.000338835486101246,-4.27844192456015e-07,0.000839418462969537,-7.02262581710852e-06,0.00669281319679821,6.69270001476551e-18,-0.000668579618855595,-1.70518805973673e-06,0.00167321234686905,-1.39747166745016e-05,0.00664794399369362,6.64760596452406e-18,0,0,0
0.1,2.69999569988606,0.0074189771340154,1,0.999999500071583,-0.000373943208878197,-5.21805675378894e-07,0.000927374136267067,-8.56840164715887e-06,0.00739149048917308,7.3913379245483e-18,-0.000736803071937988,-2.07888907720012e-06,0.00184788481927668,-1.70417538067748e-05,0.00733675464788874,7.33629921252722e-18,0,0,0
0.2,2.69999475191435,0.00819604439765787,1,0.999999390060266,-0.000412627627678818,-6.3630556114781e-07,0.00102450823896514,-1.04532712517298e-05,0.00816250261263502,8.16229699221376e-18,-0.000811746109193057,-2.53400314655047e-06,0.00204064209340208,-2.0778481300653e-05,0.00809573908364552,8.09512558432296e-18,0,0,0
0.3,2.69999359548017,0.00905413324319904,1,0.999999255925824,-0.000455239747897332,-7.75799639875822e-07,0.00113177028096761,-1.27512212542458e-05,0.00901320629160536,9.01292920977342e-18,-0.000894017187409547,-3.08809911662091e-06,0.00225332372923648,-2.53299382647182e-05,0.00893178368304591,8.93095744087222e-18,0,0,0
0.4,2.69999218492252,0.0100016103683822,1,0.999999092408018,-0.000502162071401918,-9.45698815864135e-07,0.00125020618327684,-1.55522431068106e-05,0.00995167742853366,9.95130411653647e-18,-0.000984267897981612,-3.7624796267513e-06,0.00248794921196465,-3.08721657025003e-05,0.00985239267074848,9.85128017894501e-18,0,0,0
0.5,2.69999046464151,0.0110476886650653,1,0.999998893109691,-0.000553810761052952,-1.1525698689496e-06,0.0013809676701166,-1.89657475824114e-05,0.0109867750078131,1.09862721445908e-17,-0.00108319319000885,-4.5829549379256e-06,0.00274673397275815,-3.76186919942116e-05,0.0108657305414497,1.08642330245307e-17,0,0,0
0.6,2.69998836695659,0.0122025088994058,1,0.999998650254496,-0.000610637796295408,-1.40437705730929e-06,0.00152532248891343,-2.31246913278803e-05,0.0121282092398213,1.21275320148693e-17,-0.00119153076421871,-5.58077043550559e-06,0.00303210648483988,-4.58283266820193e-05,0.011980664298564,1.19786490886513e-17,0,0,0
0.7,2.69998580951068,0.0134772284162063,1,0.999998354394173,-0.000673133072414273,-1.71077240726268e-06,0.00168466551169838,-2.81905583514403e-05,0.013386613881463,1.33857020566634e-17,-0.00131005939555579,-6.79371604200609e-06,0.00334672642403561,-5.58145098657775e-05,0.0132068045693675,1.3204093569708e-17,0,0,0
0.8,2.69998269212644,0.0148841172775799,1,0.999997994055253,-0.000741826382712342,-2.08344388468392e-06,0.00186053077034855,-3.43593660602343e-05,0.014773622563372,1.47723951963326e-17,-0.00143959589340712,-8.26745018977061e-06,0.00369350385816388,-6.79565055321055e-05,0.0145545443988382,1.45508986652513e-17,0,0,0
0.9,2.69997889300254,0.0164366622226094,1,0.999997555313195,-0.00081728920691539,-2.53653216897383e-06,0.00205460447553525,-4.1868896545779e-05,0.0163019488188631,1.63002971983196e-17,-0.00158099035261229,-1.00570758315925e-05,0.00407561939808523,-8.27127729331197e-05,0.0160350942094553,1.60301933648752e-17,0,0,0
1,2.69997426411576,0.0181496787960364,1,0.999997021279728,-0.000900136210175806,-3.08712845743333e-06,0.0022687390649231,-5.10073897084232e-05,0.0179854693402741,1.79832475358202e-17,-0.00173511928549459,-1.22290111462751e-05,0.00449654520381664,-0.000100636900484129,0.0176605110401706,1.76539258224821e-17,0,0,0
1.1,2.69996862566939,0.0200394319364263,1,0.999996371486624,-0.000991026334778478,-3.75586760965387e-06,0.00250496831963858,-6.2123975944873e-05,0.0198393097782266,1.98363220106707e-17,-0.00190287615536754,-1.48632030061146e-05,0.00496006669046752,-0.000122396540952063,0.0194437197375408,1.94348754367894e-17,0,0,0
1.2,2.69996175939798,0.0221237652333643,1,0.999995581146211,-0.0010906633407209,-4.56763297942884e-06,0.00276552357880213,-7.56411728378668e-05,0.02187993214161,2.18759159218817e-17,-0.00208515875608759,-1.80557367219579e-05,0.00547030471940896,-0.000148795843793082,0.0213985232588679,2.13866510887747e-17,0,0,0
1.3,2.69995340050387,0.0244222389538491,1,0.999994620265522,-0.00119979562146842,-5.55239143851378e-06,0.00305285106941468,-9.20698227733924e-05,0.0241252225431665,2.41198261879079e-17,-0.00228285280177939,-2.19219007809016e-05,0.00603173798850614,-0.000180801938440001,0.0235395986554733,2.35236711780907e-17,0,0,0
1.4,2.69994322795992,0.0269562767943092,1,0.999993452587231,-0.00131921508720106,-6.74617931008812e-06,0.00336963035245878,-0.000112026906616287,0.0265945776593581,2.65873303457387e-17,-0.00249681100845656,-2.65997698311459e-05,0.00664922524985834,-0.00021957607818647,0.0258824746301679,2.58611201513942e-17,0,0,0
1.5,2.69993085286662,0.0297493211297569,1,0.999992034326221,-0.00144975486975938,-8.19226210459225e-06,0.00371879386497547,-0.000136256732088026,0.0293089878254347,2.92992597652333e-17,-0.00272782686891456,-3.22543724837927e-05,0.00732802688279,-0.000266510103775594,0.0284434858059216,2.84148751089029e-17,0,0,0
1.6,2.69991580449834,0.0328269962980273,1,0.999990312665908,-0.00159228556149655,-9.94249294858747e-06,0.00410354751131315,-0.000165656063388613,0.0322911141591454,3.22780637133663e-17,-0.00297660224983862,-3.90825118414414e-05,0.00807382523248599,-0.000323268922876526,0.0312396980067515,3.12013947984842e-17,0,0,0
1.7,2.69989751361327,0.0362172791664078,1,0.999988223973261,-0.00174770965493114,-1.2058896226641e-05,0.0045273922238392,-0.000201303829262099,0.0355653564919352,3.55478600627012e-17,-0.00324370788373038,-4.73183050571278e-05,0.00889274298966801,-0.000391839718192251,0.0342887979477065,3.4237561850876e-17,0,0,0
1.8,2.69987529253441,0.0399506758712651,1,0.99998569168589,-0.00191695380253,-1.46155039598485e-05,0.0049941463732563,-0.00024449611755853,0.0391579081788286,3.91344674434867e-17,-0.00352953579905751,-5.72395024536777e-05,0.00979135873363354,-0.000474588582267454,0.0376089397786075,3.7540467474555e-17,0,0,0
1.9,2.69984831143473,0.0440604031889979,1,0.999982623818656,-0.00210095846782324,-1.77004724882549e-05,0.00550796886035808,-0.000296787231609709,0.0430967930542336,4.30654124717702e-17,-0.00383424274442991,-6.91746353029507e-05,0.0107767185902351,-0.000574325217398604,0.0412185399583508,4.11271260255068e-17,0,0,0
